0,1,2,3,4
5.8,2.7,5.1,1.9,0.0
5.0,3.4,1.5,0.2,0.0
4.9,3.1,1.5,0.1,0.0
5.1,3.5,1.4,0.2,0.0
4.9,2.4,3.3,1.0,0.0
6.2,3.4,5.4,2.3,0.0
6.0,3.0,4.8,1.8,0.0
6.3,2.9,5.6,1.8,0.0
5.6,2.5,3.9,1.1,0.0
7.6,3.0,6.6,2.1,0.0
6.5,2.8,4.6,1.5,0.0
7.0,3.2,4.7,1.4,0.0
4.8,3.0,1.4,0.1,0.0
6.4,2.9,4.3,1.3,0.0
6.7,3.1,4.4,1.4,0.0
5.7,2.9,4.2,1.3,0.0
6.7,2.5,5.8,1.8,0.0
6.3,3.3,6.0,2.5,0.0
6.7,3.1,4.7,1.5,0.0
6.4,2.8,5.6,2.2,0.0
5.1,3.3,1.7,0.5,0.0
5.1,3.8,1.6,0.2,0.0
8.730601460411657,5.1113292343808565,6.212318318316862,3.2672995047642126,3.0
5.7,2.8,4.5,1.3,0.0
5.4,3.9,1.3,0.4,0.0
5.0,3.3,1.4,0.2,0.0
5.2,4.1,1.5,0.1,0.0
9.129745302183746,4.855621468813601,6.450064540993375,3.1864890492588507,3.0
5.0,3.5,1.3,0.3,0.0
5.8,2.7,4.1,1.0,0.0
5.6,3.0,4.1,1.3,0.0
6.2,2.8,4.8,1.8,0.0
8.573272243443359,4.778572322682743,6.538418027009167,3.366962063597653,3.0
4.4,3.0,1.3,0.2,0.0
4.7,3.2,1.6,0.2,0.0
5.7,3.0,4.2,1.2,0.0
5.5,2.3,4.0,1.3,0.0
6.9,3.1,4.9,1.5,0.0
6.5,3.0,5.8,2.2,0.0
7.7,3.0,6.1,2.3,0.0
5.5,2.4,3.7,1.0,0.0
5.4,3.7,1.5,0.2,0.0
4.5,2.3,1.3,0.3,0.0
5.1,3.7,1.5,0.4,0.0
5.5,2.6,4.4,1.2,0.0
5.8,4.0,1.2,0.2,0.0
5.4,3.4,1.5,0.4,0.0
6.7,3.3,5.7,2.5,0.0
4.4,2.9,1.4,0.2,0.0
6.5,3.0,5.5,1.8,0.0
6.2,2.2,4.5,1.5,0.0
6.9,3.2,5.7,2.3,0.0
7.2,3.6,6.1,2.5,0.0
5.6,3.0,4.5,1.5,0.0
5.6,2.7,4.2,1.3,0.0
5.4,3.9,1.7,0.4,0.0
4.9,3.0,1.4,0.2,0.0
4.8,3.1,1.6,0.2,0.0
6.5,3.0,5.2,2.0,0.0
6.1,2.6,5.6,1.4,0.0
6.4,2.7,5.3,1.9,0.0
6.1,2.8,4.7,1.2,0.0
6.3,2.7,4.9,1.8,0.0
6.4,3.1,5.5,1.8,0.0
8.202499703096654,5.024254747886288,6.12700851038313,3.4980030974418765,3.0
7.7,2.6,6.9,2.3,0.0
6.0,3.4,4.5,1.6,0.0
6.7,3.0,5.2,2.3,0.0
6.3,2.3,4.4,1.3,0.0
7.9,3.8,6.4,2.0,0.0
6.8,2.8,4.8,1.4,0.0
5.5,3.5,1.3,0.2,0.0
5.8,2.6,4.0,1.2,0.0
6.1,2.8,4.0,1.3,0.0
5.0,3.4,1.6,0.4,0.0
5.3,3.7,1.5,0.2,0.0
6.0,2.7,5.1,1.6,0.0
4.4,3.2,1.3,0.2,0.0
6.7,3.3,5.7,2.1,0.0
5.8,2.8,5.1,2.4,0.0
6.0,2.2,5.0,1.5,0.0
5.1,3.4,1.5,0.2,0.0
6.5,3.2,5.1,2.0,0.0
4.6,3.1,1.5,0.2,0.0
6.1,3.0,4.6,1.4,0.0
6.3,2.5,4.9,1.5,0.0
6.3,2.5,5.0,1.9,0.0
5.7,4.4,1.5,0.4,0.0
4.6,3.2,1.4,0.2,0.0
7.3,2.9,6.3,1.8,0.0
7.4,2.8,6.1,1.9,0.0
8.09387872667118,5.269319799473019,6.291830485528812,3.528544222614572,3.0
5.9,3.2,4.8,1.8,0.0
6.0,2.2,4.0,1.0,0.0
5.1,2.5,3.0,1.1,0.0
5.6,2.9,3.6,1.3,0.0
5.1,3.8,1.9,0.4,0.0
6.8,3.0,5.5,2.1,0.0
5.7,3.8,1.7,0.3,0.0
4.6,3.4,1.4,0.3,0.0
5.2,3.5,1.5,0.2,0.0
6.6,3.0,4.4,1.4,0.0
4.8,3.4,1.6,0.2,0.0
5.8,2.7,5.1,1.9,0.0
5.0,3.6,1.4,0.2,0.0
6.7,3.1,5.6,2.4,0.0
6.8,3.2,5.9,2.3,0.0
6.7,3.0,5.0,1.7,0.0
8.155137877302096,4.763588016593182,6.2153208166360105,3.386515638199497,3.0
5.1,3.5,1.4,0.3,0.0
5.4,3.4,1.7,0.2,0.0
7.2,3.0,5.8,1.6,0.0
5.4,3.0,4.5,1.5,0.0
7.7,3.8,6.7,2.2,0.0
5.0,3.5,1.6,0.6,0.0
5.6,2.8,4.9,2.0,0.0
6.3,2.8,5.1,1.5,0.0
5.0,3.0,1.6,0.2,0.0
4.7,3.2,1.3,0.2,0.0
4.9,3.1,1.5,0.2,0.0
8.342602349018684,5.001310700888599,6.318859568481834,3.397292534148913,3.0
4.9,2.5,4.5,1.7,0.0
4.8,3.4,1.9,0.2,0.0
5.0,2.0,3.5,1.0,0.0
6.4,2.8,5.6,2.1,0.0
5.5,2.5,4.0,1.3,0.0
5.1,3.8,1.5,0.3,0.0
5.0,2.3,3.3,1.0,0.0
6.1,3.0,4.9,1.8,0.0
5.2,2.7,3.9,1.4,0.0
5.8,2.7,3.9,1.2,0.0
6.2,2.9,4.3,1.3,0.0
4.6,3.6,1.0,0.2,0.0
6.0,2.9,4.5,1.5,0.0
8.3379052557461,4.896992386968292,6.185643365214358,3.486805841697962,3.0
5.7,2.6,3.5,1.0,0.0
