0,1,2,3,4
5.5,2.4,3.7,1.0,0.0
6.2,2.2,4.5,1.5,0.0
6.4,2.8,5.6,2.1,0.0
6.1,2.8,4.7,1.2,0.0
6.3,2.5,4.9,1.5,0.0
7.2,3.6,6.1,2.5,0.0
7.7,2.6,6.9,2.3,0.0
5.0,3.4,1.6,0.4,0.0
6.0,2.2,5.0,1.5,0.0
6.5,3.0,5.5,1.8,0.0
5.1,3.3,1.7,0.5,0.0
4.6,3.4,1.4,0.3,0.0
6.7,3.3,5.7,2.1,0.0
5.4,3.7,0.2,1.5,1.0
5.6,3.0,4.5,1.5,0.0
6.9,3.1,5.4,2.1,0.0
4.5,2.3,1.3,0.3,0.0
6.9,3.1,4.9,1.5,0.0
7.6,3.0,6.6,2.1,0.0
3.5,2.6,5.7,1.0,1.0
6.120285574233615,5.2651608671573475,3.2691068304192865,2.3108897785799623,3.0
5.8,2.7,5.1,1.9,0.0
7.9,3.8,6.4,2.0,0.0
6.7,4.4,3.1,1.4,1.0
5.8,2.8,2.4,5.1,1.0
5.0,3.3,1.4,0.2,0.0
6.9,3.1,5.1,2.3,0.0
5.0,3.0,1.6,0.2,0.0
7.4,2.8,6.1,1.9,0.0
5.0,3.5,1.6,0.6,0.0
5.5,2.3,4.0,1.3,0.0
6.4,2.7,5.3,1.9,0.0
6.1,2.6,5.6,1.4,0.0
6.0,2.2,4.0,1.0,0.0
4.6,3.2,1.4,0.2,0.0
5.9,3.0,5.1,1.8,0.0
6.3,2.8,5.1,1.5,0.0
5.8,2.7,3.9,1.2,0.0
5.1,3.4,1.5,0.2,0.0
6.516005327841219,5.418179246639644,3.425386931216148,2.2931415284814527,3.0
4.9,3.1,1.5,0.1,0.0
6.0,3.4,4.5,1.6,0.0
5.8,2.7,5.1,1.9,0.0
6.4,2.8,5.6,2.2,0.0
5.5,2.4,3.8,1.1,0.0
5.7,3.0,4.2,1.2,0.0
6.5207669977793135,5.023627591652892,2.883712253658274,2.0832632040263617,3.0
6.3,2.7,4.9,1.8,0.0
6.9,3.5929170304402094,5.7,3.2,1.0
5.1,3.5,1.4,0.3,0.0
5.8,2.6,4.0,1.2,0.0
4.9,2.5,4.5,1.7,0.0
4.8,3.0,1.4,0.3,0.0
4.4,3.2,1.3,0.2,0.0
6.0445659858484415,5.3386757063405295,3.286805427077217,2.345140850362924,3.0
5.6,3.0,4.1,1.3,0.0
6.3,2.3,4.4,1.3,0.0
6.7,3.0,5.2,2.3,0.0
5.2,3.5,1.5,0.2,0.0
5.0,3.5,1.3,0.3,0.0
5.5,2.6,4.4,1.2,0.0
6.7,3.1,4.7,1.5,0.0
4.7,3.2,1.6,0.2,0.0
4.4,3.0,0.2,1.3,1.0
4.3,3.0,1.1,0.1,0.0
6.5,3.0,5.2,2.0,0.0
5.2,3.4,1.4,0.2,0.0
6.7,3.3,5.7,2.5,0.0
6.2,2.9,4.3,1.3,0.0
7.2,3.0,5.8,1.6,0.0
5.7,4.4,1.5,0.4,0.0
7.0,3.2,4.7,1.4,0.0
7.1,3.0,5.9,2.1,0.0
6.3,2.9,5.6,1.8,0.0
5.7,2.9,4.2,1.3,0.0
6.7,3.1,5.6,2.4,0.0
5.3,3.7,1.5,0.2,0.0
6.1,2.8,4.0,1.3,0.0
4.9,3.0,1.4,0.2,0.0
6.3,3.3,4.7,1.6,0.0
6.780616498538996,5.289830233759144,3.354316460147583,2.197445501626226,3.0
5.4,3.4,1.5,0.4,0.0
7.7,3.0,6.1,2.3,0.0
6.8,3.2,5.9,2.3,0.0
5.0,3.2,1.2,0.2,0.0
7.2,3.2,6.0,1.8,0.0
5.4,3.9,1.3,0.4,0.0
7.3,2.9,6.3,1.8,0.0
5.9,3.0,4.2,1.5,0.0
5.7,2.8,4.5,1.3,0.0
6.8,2.8,4.8,1.4,0.0
5.9,3.2,4.8,1.8,0.0
5.7,3.8,1.7,0.3,0.0
5.5,2.5,4.0,1.3,0.0
6.0,2.7,5.1,1.6,0.0
5.4,3.0,4.5,1.5,0.0
4.9,3.1,1.5,0.2,0.0
5.6,2.5,3.9,1.1,0.0
4.8,3.4,1.9,0.2,0.0
5.5,3.5,1.3,0.2,0.0
6.6,2.9,4.6,1.3,0.0
6.5,3.2,5.1,2.0,0.0
5.1,3.8,1.5,0.3,0.0
5.0,3.4,1.5,0.2,0.0
7.7,2.8,6.7,2.0,0.0
6.1,2.9,4.7,1.4,0.0
6.7,3.0,5.0,1.7,0.0
6.2,3.4,5.4,2.3,0.0
4.7,3.2,1.3,0.2,0.0
6.1,4.9,4.217992287076521,1.8,1.0
4.6,3.6,1.0,0.2,0.0
6.4,3.1,5.5,1.8,0.0
4.4,2.9,1.4,0.2,0.0
6.4,3.2,4.5,1.5,0.0
4.8,3.1,1.6,0.2,0.0
6.6,3.0,4.4,1.4,0.0
4.6,3.1,1.5,0.2,0.0
6.0,2.9,4.5,1.5,0.0
5.1,2.5,3.0,1.1,0.0
6.5,3.0,5.8,2.2,0.0
5.8,2.7,4.1,1.0,0.0
5.4,3.4,1.7,0.2,0.0
6.3,2.5,5.0,1.9,0.0
4.8,3.4,1.6,0.2,0.0
5.6,2.8,4.9,2.0,0.0
5.1,3.7,1.5,0.4,0.0
4.8,3.0,1.4,0.1,0.0
5.945756210805677,5.244512705326714,3.209656720032634,2.32811858339317,3.0
6.3,3.3,6.0,2.5,0.0
6.4,3.2,5.3,2.3,0.0
5.1,3.5,1.4,0.2,0.0
5.4,3.9,1.7,0.4,0.0
4.9,3.6,1.4,0.1,0.0
6.0,3.0,4.8,1.8,0.0
5.2,4.1,1.5,0.1,0.0
