0,1,2,3,4
6.9,3.1,5.4,2.1,0.0
4.8,3.0,1.4,0.1,0.0
5.6,2.5,3.9,1.1,0.0
6.4,3.2,4.5,1.5,0.0
6.9,3.2,5.7,2.3,0.0
4.9,2.4,3.3,1.0,0.0
5.5,2.3,4.0,1.3,0.0
5.2,3.5,1.5,0.2,0.0
6.2,2.9,4.3,1.3,0.0
5.9,3.0,4.2,1.5,0.0
5.1,0.4,1.9,3.8,1.0
7.7,2.6,6.9,2.3,0.0
7.0,3.2,4.7,1.4,0.0
5.8,2.6,4.0,1.2,0.0
6.1,2.8,4.0,1.3,0.0
6.8,3.0,5.5,2.1,0.0
5.0,3.5,1.6,0.6,0.0
6.1,2.8,4.7,1.2,0.0
5.1,2.5,3.0,1.1,0.0
7.9,3.8,6.4,2.0,0.0
5.0,2.0,3.5,1.0,0.0
5.3,3.7,1.5,0.2,0.0
5.5,2.6,4.4,1.2,0.0
4.8,3.4,1.9,0.2,0.0
5.6,3.0,4.5,1.5,0.0
5.5,2.4,3.7,1.0,0.0
7.2,3.2,6.0,1.8,0.0
5.7,3.0,4.2,1.2,0.0
6.3,2.7,4.9,1.8,0.0
6.1,2.9,4.7,1.4,0.0
5.8,2.7,5.1,1.9,0.0
5.5,4.2,1.4,0.2,0.0
6.8,3.2,5.9,2.3,0.0
5.7,2.5,5.0,2.0,0.0
5.8,2.8,5.1,2.4,0.0
4.3,3.0,1.1,0.1,0.0
5.6,2.9,3.6,1.3,0.0
5.8,2.7,3.9,1.2,0.0
6.2,2.2,4.5,1.5,0.0
5.4,3.9,1.3,0.4,0.0
4.6,3.6,1.0,0.2,0.0
0.2,3.4,1.5,6.146441807311329,1.0
5.8,2.7,4.1,1.0,0.0
3.4,7.282455153056413,5.4,2.3,1.0
2.660450340993873,3.0,5.0,0.2,1.0
6.0,2.2,4.0,1.0,0.0
6.1,3.0,4.9,1.8,0.0
7.1,3.0,5.9,2.1,0.0
7.6,3.0,6.6,2.1,0.0
7.7,3.8,6.7,2.2,0.0
4.8,3.4,1.6,0.2,0.0
5.2,2.7,3.9,1.4,0.0
6.5,3.2,5.1,2.0,0.0
6.7,2.5,5.8,1.8,0.0
5.7,4.4,1.5,0.4,0.0
6.0,3.4,4.5,1.6,0.0
6.7,3.0,5.0,1.7,0.0
6.7,5.2,3.0,2.3,1.0
5.0,3.3,1.4,0.2,0.0
5.2,4.1,1.5,0.1,0.0
5.6,2.8,4.9,2.0,0.0
5.4,3.7,1.5,0.2,0.0
5.1,3.7,1.5,0.4,0.0
4.4,3.2,1.3,0.2,0.0
5.0,3.6,1.4,0.2,0.0
5.8,2.7,5.1,1.9,0.0
5.9,3.0,5.1,1.8,0.0
6.4,2.8,5.6,2.1,0.0
6.7,3.3,5.7,2.5,0.0
6.5,3.0,5.2,2.0,0.0
7.7,3.0,6.1,2.3,0.0
5.0,3.4,1.5,0.2,0.0
4.6,3.4,1.4,0.3,0.0
6.1,2.6,5.6,1.4,0.0
6.0,2.2,5.0,1.5,0.0
7.2,3.0,5.8,1.6,0.0
4.9,3.6,1.4,0.1,0.0
7.2,3.6,6.1,2.5,0.0
6.3,3.3,6.0,2.5,0.0
6.3,2.5,4.9,1.5,0.0
5.7,3.8,1.7,0.3,0.0
4.4,3.0,1.3,0.2,0.0
6.718865472019031,2.8358759276704455,6.705754172231184,1.674952797416641,2.0
4.7,3.2,1.3,0.2,0.0
7.054493274366376,3.0841477136497266,6.551120592163189,2.2117313864117465,2.0
3.3,5.1,1.7,0.5,1.0
4.6,3.1,1.5,0.2,0.0
6.3,3.3,4.7,1.6,0.0
5.6,2.7,4.2,1.3,0.0
6.4,2.8,5.6,2.2,0.0
6.8,2.8,4.8,1.4,0.0
4.8,2.8,6.2,1.8,1.0
5.4,3.0,4.5,1.5,0.0
4.5,2.3,1.3,0.3,0.0
6.4,2.7,5.3,1.9,0.0
5.4,3.9,1.7,0.4,0.0
4.8,3.0,1.4,0.3,0.0
5.4,3.4,1.5,0.4,0.0
6.5,3.0,5.8,2.2,0.0
5.8,4.0,0.2,1.2,1.0
4.4,2.9,1.4,0.2,0.0
5.2,3.4,1.4,0.2,0.0
6.3,2.5,5.0,1.9,0.0
5.7,2.9,4.2,1.3,0.0
5.1,3.5,1.4,0.3,0.0
6.3,2.9,5.6,1.8,0.0
6.6,2.9,4.6,1.3,0.0
6.1,3.0,4.6,1.4,0.0
6.7,3.1,4.7,1.5,0.0
5.0,3.4,1.6,0.4,0.0
5.1,3.8,1.6,0.2,0.0
5.921860988263281,2.458641070103597,5.973167900339976,1.1161070550244718,2.0
6.5,2.8,4.6,1.5,0.0
5.5,2.4,3.8,1.1,0.0
6.0,3.0,4.8,1.8,0.0
6.6,3.0,4.4,1.4,0.0
5.0,3.5,1.3,0.3,0.0
6.3,3.4,5.6,2.4,0.0
6.9,3.1,4.9,1.5,0.0
